,system:index,classification,Lat,Lon,B2,B3,B4,B8
269,269,2,-1.1965621530887942,36.92517052471587,2091.75,1875.4166666666667,1754.8333333333333,1783.3333333333333
270,270,5,-1.1712760673672202,36.9527249046743,1993.9583333333333,1871.8333333333333,1889.0833333333333,1761.1666666666667
271,271,2,-1.2108443284900068,36.97278607420665,3052.6666666666665,2778.7083333333335,2605.75,2672.9166666666665
272,272,5,-1.2056417033333058,36.936723198989554,2657.5833333333335,2497.6666666666665,2385.3333333333335,2345.5
273,273,2,-1.2025152625331716,36.95543011901319,2893.9166666666665,2600.75,2465.3333333333335,2488.5
274,274,2,-1.2037727412666674,36.927126133109816,2264.5,1957.0,1790.1666666666667,1894.5
275,275,2,-1.1716628152489184,36.959945711645474,1580.3333333333333,1390.6666666666667,1297.25,1302.125
276,276,5,-1.1832068854197604,36.95123415648673,1813.0416666666667,1658.5833333333333,1652.0416666666667,1554.0416666666667
277,277,2,-1.2198621819733866,36.92046539615248,2494.75,2417.1666666666665,2434.1666666666665,2262.5833333333335
278,278,1,-1.2167492428169675,36.98803075982131,2151.6666666666665,1943.375,1841.5,1889.0416666666667
279,279,1,-1.2148825897748905,36.96880369816034,2524.1666666666665,2327.4166666666665,2278.3333333333335,2287.0833333333335
280,280,3,-1.182395092400374,36.951667618482816,1723.375,1567.8333333333333,1512.3333333333333,1462.4166666666667
281,281,2,-1.206763475618345,36.908873653133455,2481.1666666666665,2293.6666666666665,2208.5833333333335,2211.0833333333335
282,282,1,-1.2090051641193464,36.916953055670696,2054.9166666666665,1886.25,1852.1666666666667,1780.9166666666667
283,283,2,-1.2123767737105282,36.91915468735213,2400.9166666666665,2228.0833333333335,2149.75,2147.6666666666665
284,284,2,-1.2067276698088052,36.921430637422375,2061.8333333333335,1882.5833333333333,1763.0,1780.8333333333333
285,285,1,-1.179899333705789,36.95579493578102,2029.0,1836.125,1761.7916666666667,1730.7916666666667
286,286,2,-1.2012394542533915,36.96137139539167,1898.2916666666667,1693.7083333333333,1607.125,1579.875
287,287,3,-1.1978616949336245,36.962959947216646,1883.1666666666667,1655.5416666666667,1528.6666666666667,1551.875
288,288,5,-1.1906084195241116,36.9691702680496,2088.6666666666665,1915.9583333333333,1804.2083333333333,1791.0
289,289,2,-1.2132672288261663,36.95914954646767,1997.75,1823.5,1615.875,1772.5833333333333
290,290,3,-1.2182844107373187,36.92119954031228,2883.0833333333335,2735.1666666666665,2574.0,2627.6666666666665
291,291,5,-1.2211592644314966,36.9485935034845,1784.875,1682.4583333333333,1566.6666666666667,1561.4583333333333
292,292,1,-1.1957528914284177,36.95898429552666,1736.5,1549.0,1502.75,1433.8333333333333
293,293,3,-1.2179062368128395,36.96550348014436,2323.125,2159.8333333333335,2073.4166666666665,2063.9166666666665
294,294,1,-1.2139135396757097,36.92979940953376,1911.4166666666667,1692.4166666666667,1583.0833333333333,1632.6666666666667
295,295,3,-1.198529393700925,36.92109025039761,2437.4166666666665,2170.5,2046.6666666666667,2041.5
296,296,5,-1.2163786546274684,36.942785230854,1931.1666666666667,1747.25,1680.0833333333333,1672.25
297,297,2,-1.213114289450825,36.9550348910976,1963.8333333333333,1781.2083333333333,1723.6666666666667,1714.7916666666667
298,298,1,-1.1941096624380825,36.93072655387258,1887.3333333333333,1799.1666666666667,1834.1666666666667,1656.3333333333333
299,299,5,-1.1920983237716454,36.97278218898485,1936.6666666666667,1715.0,1641.625,1592.875
300,300,5,-1.2060911415398494,36.937147996091646,2816.1666666666665,2585.1666666666665,2444.6666666666665,2465.5
301,301,2,-1.2072411213205552,36.97575374854411,3296.0416666666665,2956.625,2783.8333333333335,2828.5
302,302,2,-1.2027338610953917,36.92579698772912,2276.25,2087.9166666666665,2021.5833333333333,1973.9166666666667
303,303,5,-1.207467860919471,36.98691559318554,1913.2083333333333,1609.7083333333333,1485.4583333333333,1554.9583333333333
304,304,2,-1.195626915933777,36.95746235724576,1732.875,1565.1666666666667,1505.4166666666667,1441.3333333333333
305,305,2,-1.2093173005765725,36.92090980001909,2003.5,1831.8333333333333,1777.3333333333333,1732.8333333333333
306,306,3,-1.2153578349709286,36.95659386275411,1801.5833333333333,1573.6666666666667,1391.875,1480.9166666666667
307,307,2,-1.2052966192899055,36.91064268856107,2748.8333333333335,2524.5,2438.9166666666665,2449.4166666666665
308,308,5,-1.1979797016043046,36.93680999653056,2506.9166666666665,2333.25,2254.25,2271.1666666666665
309,309,5,-1.188496427092962,36.952785163538906,2017.0416666666667,1820.8333333333333,1760.25,1727.3333333333333
310,310,5,-1.2026172602403282,36.96007306468936,2853.0,2626.625,2502.25,2509.5833333333335
311,311,3,-1.199023447887992,36.93828302184836,2448.5833333333335,2236.25,2181.9166666666665,2166.0
312,312,5,-1.2075259282079136,36.97822784573902,3066.0,2802.3333333333335,2737.2083333333335,2640.7083333333335
313,313,2,-1.200690816639712,36.970527380777824,2401.7083333333335,2222.4583333333335,2252.7916666666665,2051.875
314,314,1,-1.2025296679722095,36.9117814119638,3106.3333333333335,2772.8333333333335,2690.1666666666665,2692.4166666666665
315,315,2,-1.1791053995945024,36.9576629943312,1813.5833333333333,1629.375,1570.9583333333333,1538.5416666666667
316,316,1,-1.196482157181049,36.93025129755695,1953.9166666666667,1757.5833333333333,1693.0833333333333,1677.1666666666667
317,317,1,-1.1979178878515506,36.9258998200509,2352.0,2172.0,2079.25,2058.25
318,318,5,-1.1829790754189304,36.93968091028994,1722.25,1530.25,1478.3333333333333,1439.6666666666667
319,319,5,-1.219095089536907,36.930702795915664,1630.0,1483.1666666666667,1373.25,1408.5833333333333
320,320,1,-1.1877611504593628,36.93681437396019,2125.25,1935.3333333333333,1831.5833333333333,1810.4166666666667
321,321,1,-1.2020872138289422,36.92299778962248,2459.5,2268.8333333333335,2134.75,2122.4166666666665
322,322,1,-1.2011440282194124,36.92809712636562,2555.4166666666665,2329.6666666666665,2245.1666666666665,2215.0
323,323,1,-1.2208515581059245,36.93280346890333,1787.5833333333333,1594.0,1468.1666666666667,1515.75
324,324,2,-1.2090657757956256,36.965948656864015,2741.7916666666665,2463.4583333333335,2356.875,2305.25
325,325,2,-1.2082928074298729,36.968913001900816,2486.0833333333335,2157.75,1975.0416666666667,2096.5833333333335
326,326,2,-1.198521753151745,36.95455863797968,2137.5,1951.875,1857.625,1818.8333333333333
327,327,2,-1.1972484343745642,36.971681487881725,1906.7916666666667,1703.2083333333333,1600.5416666666667,1557.4166666666667
328,328,3,-1.1828001728595947,36.95942341290619,1877.6666666666667,1700.7916666666667,1656.3333333333333,1608.5833333333333
329,329,2,-1.214196336381219,36.941790786459045,2061.0833333333335,1781.5833333333333,1618.6666666666667,1691.1666666666667
330,330,1,-1.200564573898143,36.94834397813917,2173.4583333333335,1973.625,1878.25,1865.0
331,331,5,-1.2091133607010625,36.978341786843,2876.0416666666665,2646.2083333333335,2511.2083333333335,2480.2916666666665
332,332,2,-1.1933281334303385,36.93228752332776,2352.9166666666665,2136.5,2027.8333333333333,2023.9166666666667
333,333,2,-1.2100050911506417,36.953986215481855,2179.75,1917.625,1844.125,1885.0
334,334,5,-1.195867797386933,36.95451286500904,2170.875,1986.625,1944.6666666666667,1863.9166666666667
335,335,5,-1.2124565336870234,36.94632449577617,2010.7916666666667,1794.7916666666667,1700.3333333333333,1693.6666666666667
336,336,5,-1.1981607462071602,36.96577302295972,2271.4583333333335,2138.1666666666665,2079.0416666666665,1977.8333333333333
337,337,5,-1.199644870425722,36.9564058550331,2182.0416666666665,1939.6666666666667,1811.1666666666667,1842.3333333333333
338,338,5,-1.217585097402847,36.98173371480362,1935.625,1829.375,1767.8333333333333,1682.7083333333333
339,339,2,-1.17637403713628,36.95836434865608,1506.0416666666667,1330.8333333333333,1271.0,1250.125
340,340,3,-1.199033921492772,36.91655294882295,2556.8333333333335,2356.3333333333335,2268.9166666666665,2212.25
341,341,3,-1.2251453368107104,36.91767374385531,1753.0,1614.0,1531.3333333333333,1506.1666666666667
342,342,5,-1.2190377401757435,36.94340056927596,2163.75,1928.1666666666667,1821.5833333333333,1823.8333333333333
343,343,1,-1.2093495022723773,36.92252183646669,1796.3333333333333,1614.25,1529.0833333333333,1556.75
344,344,2,-1.17062127915569,36.94924963893529,2029.1666666666667,1851.7916666666667,1785.0833333333333,1780.5
345,345,3,-1.1863471307837958,36.96675309718264,1702.8333333333333,1530.5416666666667,1441.5,1399.4166666666667
346,346,1,-1.195603406793032,36.92629819150768,2311.5,2124.8333333333335,2019.0833333333333,2000.3333333333333
347,347,1,-1.2189985775563807,36.9571656454722,1652.125,1491.2916666666667,1388.4583333333333,1382.25
348,348,5,-1.2021120122096889,36.980538080117086,3371.2916666666665,3112.4583333333335,2953.75,2968.5833333333335
349,349,2,-1.1858292236519583,36.93228746125329,2044.6666666666667,1855.1666666666667,1774.75,1768.3333333333333
350,350,5,-1.188832251596022,36.9566720393041,1965.25,1860.4166666666667,1757.3333333333333,1732.125
351,351,0,-1.1968527739520995,36.9785097691164,2663.7916666666665,2421.8333333333335,2340.0416666666665,2297.375
352,352,5,-1.1984182820938336,36.965852699641474,2369.125,2214.625,2126.7916666666665,2071.25
